ID,Date,Status,Type_description,href,num_violations
10775620,10/22/2013,PASSED,BOILER ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10775620,0
10912983,10/01/2013,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10912983,0
11002791,10/01/2013,FAILED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11002791,1
10715924,08/21/2013,FAILED,CONSERVATION ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10715924,4
10270889,10/16/2012,FAILED,CONSERVATION ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10270889,1
10740771,08/28/2012,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10740771,0
10681952,08/28/2012,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10681952,0
10560743,05/23/2012,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10560743,0
9995366,04/09/2012,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=9995366,0
10411517,03/07/2012,PASSED,BOILER ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10411517,0
10530867,02/21/2012,FAILED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10530867,1
10230414,10/27/2011,FAILED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10230414,1
10167186,09/12/2011,PASSED,ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10167186,0
10155814,07/13/2011,PASSED,VENT ANNUAL,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10155814,0
